ticker,cik,name,eps_sector,stonks_silo,tanuki,eps,hypecore
AAPL,0000320193,Apple Inc.,,false,true,true,true
ALAB,0001736297,"Astera Labs, Inc.",,false,true,true,true
AMAT,0000006951,APPLIED MATERIALS INC /DE,,false,true,true,true
AMD,0000002488,ADVANCED MICRO DEVICES INC,,false,true,true,true
AMZN,0001018724,AMAZON COM INC,,false,true,true,true
APP,0001751008,AppLovin Corp,,false,true,true,true
ASTS,0001780312,"AST SpaceMobile, Inc.",,true,true,true,true
AVAV,0001368622,AeroVironment Inc,,true,true,true,true
BBAI,0001836981,"BigBear.ai Holdings, Inc.",,true,true,true,true
BSY,0001031308,BENTLEY SYSTEMS INC,,false,true,true,true
CAKE,0000887596,Cheesecake Factory Inc,,false,true,true,true
CART,0001579091,Maplebear Inc.,,false,true,true,true
CEG,0001868275,Constellation Energy Corp,,false,true,true,true
CELH,0001341766,"Celsius Holdings, Inc.",,false,true,true,true
CIX,0001049606,COMPX INTERNATIONAL INC,,false,true,true,true
COHR,0000820318,COHERENT CORP.,,false,true,true,true
CRM,0001108524,"Salesforce, Inc.",,false,true,true,true
CRWV,1769628,CoreWeave Inc,,true,true,true,true
CWAN,0001866368,"Clearwater Analytics Holdings, Inc.",,true,true,true,true
DDOG,0001561550,"Datadog, Inc.",,false,true,true,true
ELF,0001600033,"e.l.f. Beauty, Inc.",,false,true,true,true
ESTC,0001707753,Elastic N.V.,,,,,
FIG,0001579878,"Figma, Inc.",,false,true,true,true
GOOGL,0001652044,Alphabet Inc.,,false,true,true,true
GTLB,0001653482,Gitlab Inc.,,false,true,true,true
IONQ,0001824920,"IonQ, Inc.",,true,true,true,true
IOT,0001642896,Samsara Inc.,,true,true,true,true
JOBY,0001819848,"Joby Aviation, Inc.",,true,true,true,true
KO,0000021344,COCA COLA CO,,false,true,true,true
LITE,0001633978,Lumentum Holdings Inc.,,false,true,true,true
LLY,0000059478,ELI LILLY & Co,,false,true,true,true
LMT,0000936468,LOCKHEED MARTIN CORP,,false,true,true,true
META,0001326801,"Meta Platforms, Inc.",,false,true,true,true
MRVL,0001835632,"Marvell Technology, Inc.",,false,true,true,true
MSFT,0000789019,MICROSOFT CORP,,false,true,true,true
NET,0001477333,"Cloudflare, Inc.",,true,true,true,true
NOW,0001373715,"ServiceNow, Inc.",,false,true,true,true
NVDA,0001045810,NVIDIA CORP,,false,true,true,true
ONDS,0001646188,Ondas Inc.,,true,true,true,true
PLTR,0001321655,Palantir Technologies Inc.,,false,true,true,true
QBTS,0001907982,D-Wave Quantum Inc.,,true,true,true,true
RBRK,0001943896,"Rubrik, Inc.",,true,true,true,true
RCAT,0000748268,"Red Cat Holdings, Inc.",,true,true,true,true
RDW,0001819810,Redwire Corp,,true,true,true,true
RKLB,0001819994,Rocket Lab Corp,,true,false,true,true
RXRX,0001601830,"RECURSION PHARMACEUTICALS, INC.",,true,true,true,true
S,0001583708,"SentinelOne, Inc.",,true,true,true,true
SITM,0001451809,SITIME Corp,,true,true,true,true
SOFI,0001818874,"SoFi Technologies, Inc.",,false,true,true,true
SOUN,0001840856,"SOUNDHOUND AI, INC.",,true,true,true,true
SPIR,0001816017,"Spire Global, Inc.",Technology,false,true,true,true
TSLA,0001318605,"Tesla, Inc.",,false,true,true,true
VRT,0001674101,Vertiv Holdings Co,Technology,false,true,true,true
ZETA,0001851003,Zeta Global Holdings Corp.,,true,true,true,true
